iter	Passed	Remaining
0	80	80564
1	81	40445
2	81	27054
3	81	20350
4	82	16328
5	82	13646
6	82	11730
7	83	10292
8	83	9217
9	84	8363
10	85	7665
11	85	7069
12	86	6542
13	86	6092
14	86	5702
15	87	5382
16	87	5081
17	88	4812
18	88	4571
19	88	4353
20	89	4156
21	89	3977
22	89	3814
23	93	3800
24	94	3696
25	95	3564
26	95	3440
27	95	3330
28	96	3227
29	99	3201
30	101	3157
31	103	3116
32	103	3031
33	104	2969
34	105	2905
35	106	2843
36	106	2783
37	109	2781
38	110	2715
39	110	2652
40	110	2593
41	111	2535
42	111	2481
43	111	2429
44	112	2379
45	112	2334
46	113	2298
47	114	2263
48	114	2228
49	115	2196
50	116	2165
51	117	2136
52	117	2107
53	118	2080
54	119	2053
55	121	2053
56	122	2021
57	122	1989
58	122	1958
59	123	1929
60	123	1900
61	123	1872
62	124	1845
63	124	1819
64	124	1794
65	125	1769
66	125	1745
67	125	1719
68	125	1696
69	126	1674
70	126	1653
71	126	1632
72	126	1612
73	127	1592
74	127	1573
75	127	1554
76	128	1536
77	128	1524
78	129	1512
79	134	1552
80	135	1535
81	135	1518
82	135	1501
83	136	1485
84	136	1468
85	136	1453
86	136	1436
87	137	1421
88	137	1409
89	138	1399
90	139	1390
91	139	1380
92	140	1370
93	140	1358
94	141	1345
95	141	1332
96	141	1320
97	142	1308
98	142	1296
99	142	1285
100	143	1273
101	143	1260
102	143	1249
103	143	1239
104	144	1228
105	144	1218
106	147	1230
107	148	1225
108	149	1219
109	149	1212
110	150	1202
111	150	1193
112	151	1186
113	151	1177
114	151	1168
115	152	1158
116	152	1149
117	153	1146
118	153	1136
119	153	1128
120	154	1120
121	154	1112
122	154	1103
123	155	1098
124	156	1094
125	156	1088
126	157	1083
127	158	1077
128	158	1072
129	159	1067
130	160	1064
131	160	1057
132	161	1050
133	161	1044
134	161	1037
135	162	1031
136	162	1024
137	162	1018
138	163	1011
139	163	1005
140	164	999
141	164	993
142	164	987
143	165	981
144	165	975
145	165	970
146	166	964
147	166	959
148	166	953
149	167	947
150	167	942
151	167	936
152	168	931
153	168	926
154	169	922
155	169	916
156	169	911
157	170	906
158	170	901
159	170	896
160	171	891
161	171	886
162	171	881
163	172	877
164	172	872
165	172	868
166	173	863
167	173	859
168	173	855
169	174	850
170	174	846
171	174	841
172	175	837
173	175	833
174	175	828
175	176	824
176	176	820
177	176	815
178	176	811
179	177	807
180	177	802
181	177	798
182	178	794
183	178	790
184	178	786
185	178	782
186	179	779
187	179	775
188	179	771
189	180	768
190	180	764
191	180	761
192	181	757
193	181	753
194	181	750
195	182	746
196	182	743
197	182	739
198	182	736
