iter	Passed	Remaining
0	65	65842
1	66	33081
2	66	22160
3	67	16695
4	67	13432
5	67	11238
6	68	9679
7	68	8503
8	68	7587
9	69	6852
10	69	6251
11	69	5750
12	70	5326
13	70	4961
14	70	4645
15	71	4366
16	71	4128
17	71	3914
18	72	3723
19	72	3549
20	72	3400
21	73	3260
22	73	3127
23	73	3005
24	74	2893
25	74	2789
26	74	2697
27	75	2611
28	75	2528
29	75	2453
30	76	2380
31	76	2312
32	76	2250
33	77	2191
34	77	2134
35	77	2080
36	78	2033
37	78	1986
38	78	1942
39	79	1898
40	79	1857
41	79	1820
42	80	1783
43	80	1748
44	80	1717
45	81	1685
46	81	1653
47	81	1622
48	82	1593
49	82	1565
50	82	1539
51	83	1513
52	83	1488
53	83	1463
54	83	1440
55	84	1417
56	84	1395
57	84	1374
58	84	1353
59	85	1333
60	85	1314
61	85	1296
62	85	1278
63	86	1260
64	86	1243
65	86	1227
66	87	1212
67	87	1196
68	87	1181
69	87	1167
70	88	1152
71	88	1138
72	88	1125
73	88	1112
74	89	1099
75	89	1086
76	89	1074
77	89	1062
78	90	1051
79	90	1040
80	90	1029
81	90	1018
82	91	1006
83	91	996
84	91	986
85	91	976
86	92	967
87	92	958
88	92	949
89	93	941
90	93	933
91	93	925
92	94	917
93	94	908
94	94	901
95	94	893
96	95	886
97	95	879
98	95	871
99	96	864
100	96	857
101	96	850
102	96	843
103	97	837
104	97	830
105	97	824
106	98	818
107	98	811
108	98	805
109	98	799
110	99	794
111	99	790
112	99	784
113	100	779
114	100	776
115	101	771
116	101	765
117	101	760
118	102	755
119	102	750
120	102	745
121	102	740
122	103	736
123	103	731
124	103	726
125	104	722
126	104	717
127	104	713
128	105	709
129	105	704
130	105	700
131	105	696
132	106	692
133	106	688
134	106	683
135	107	679
136	107	675
137	107	671
138	107	668
139	108	664
140	108	660
141	108	656
142	108	652
143	109	649
144	109	645
145	109	642
146	110	638
147	110	635
148	110	631
149	110	628
150	111	625
151	111	622
152	111	618
153	112	615
154	112	612
155	112	609
156	113	606
157	113	603
158	113	600
159	113	597
160	114	594
161	114	591
162	114	588
163	114	585
164	115	583
165	115	580
166	115	577
167	116	576
168	116	574
169	117	572
170	117	570
171	117	567
172	118	566
173	118	564
174	119	562
175	119	561
176	120	558
177	120	556
178	120	554
179	121	552
180	121	550
181	121	548
182	122	545
183	122	543
184	123	541
185	123	540
186	123	538
187	124	536
188	124	534
189	124	532
190	125	530
191	125	528
192	125	526
193	126	524
194	126	522
195	126	520
196	127	518
197	127	517
198	128	515
199	128	513
200	128	511
201	129	510
202	129	508
203	129	506
204	130	504
205	130	502
206	130	500
207	130	498
208	131	496
209	131	494
210	131	492
211	132	491
212	132	490
213	134	492
214	134	490
215	134	489
216	135	487
217	135	485
218	135	483
219	136	482
220	136	480
221	136	479
222	137	477
223	137	475
224	137	474
225	138	472
226	138	471
227	138	469
228	139	468
229	139	467
230	139	465
231	140	464
232	140	462
233	140	460
234	141	459
235	141	457
236	141	455
237	141	454
238	142	452
239	142	451
240	142	449
241	143	448
242	143	446
243	143	445
244	143	443
245	144	441
246	144	440
247	144	438
248	145	437
249	145	435
250	145	434
251	145	433
252	146	431
253	146	430
254	146	429
255	147	428
256	147	427
257	148	426
258	148	425
259	149	424
260	149	423
261	149	422
262	150	421
263	150	420
264	151	418
265	151	417
266	151	416
267	151	414
268	152	413
269	152	412
270	152	411
271	153	409
272	153	408
273	153	407
274	154	406
275	154	404
276	154	403
277	154	402
278	155	401
279	155	400
280	155	398
281	156	397
282	156	396
283	156	395
284	157	394
285	157	393
286	157	391
287	158	390
288	158	389
289	158	388
290	158	387
291	159	386
292	159	384
293	159	383
294	160	382
295	160	381
296	160	380
297	161	379
298	161	378
299	161	377
300	161	376
301	162	375
302	162	373
303	162	372
